SectorID	Environment Type	Energy	SectorName	Perks
19	The Dangerous Wilds (High Aggression)	The Hunger	Blood-Thorn Thicket	 [+15% Primal Instinct] + [💀 Exposed Status]
20	The Dangerous Wilds (High Aggression)	The Hunger	Raptor’s Peak	[+10% Hunter’s Mark] + [🔇 Muffled]
21	The Dangerous Wilds (High Aggression)	The Hunger	Ghost-Water Fen	[+15% Primal Instinct] + [💧 Bleed] 
22	The Dangerous Wilds (High Aggression)	The Hunger	Silent Maw	[+10% Hunter’s Mark] + [🌀 Madness] 
23	The Dangerous Wilds (High Aggression)	The Hunger	Broken Spine	[+15% Primal Instinct] + [📉 Atrophy]
24	The Dangerous Wilds (High Aggression)	The Hunger	Black-Sand Beach	[+10% Hunter’s Mark] + [💧 Bleed]
25	The Settled Frontier (Hospitable/Trade)	The Hustle	Silver Port	[🤝 Free Market] + [🏦 5% Tithe] 
26	The Settled Frontier (Hospitable/Trade)	The Hustle	Amber Hearth	[💰 Prosperity] + [🏦 5% Tithe]
27	The Settled Frontier (Hospitable/Trade)	The Hustle	The Gilded Vale	[🤝 Free Market] + [🏦 10% Tithe] 
28	The Settled Frontier (Hospitable/Trade)	The Hustle	Iron Basin	[💰 Prosperity] + [🏦 10% Tithe] 
29	The Settled Frontier (Hospitable/Trade)	The Hustle	Copper Crossing	[🛡️ Fortress Aura] + [🏦 5% Tithe] 
30	The Settled Frontier (Hospitable/Trade)	The Hustle	Merchant’s Rest	[🤝 Free Market] + [🏦 5% Tithe]
31	The Settled Frontier (Hospitable/Trade)	The Hustle	Low-Tide Haven	[💰 Prosperity] + [🏦 10% Tithe]
32	The Settled Frontier (Hospitable/Trade)	The Hustle	Stable-Hand’s End	[🛡️ Fortress Aura] + [🏦 10% Tithe]
33	The Noble Reach (Taxed/Wealthy)	Greed	Marble Arch	[📈 High Stakes] + [🏦 15% Tithe]
34	The Noble Reach (Taxed/Wealthy)	Greed	Silk-Road Junction	[💰 Prosperity] + [🏦 15% Tithe]
35	The Noble Reach (Taxed/Wealthy)	Greed	Vineyard Ridge	 [📈 High Stakes] + [🔇 Muffled] 
36	The Noble Reach (Taxed/Wealthy)	Greed	Coin-Counter’s Alley	[💰 Prosperity] + [🏦 20% Tithe] 
37	The Noble Reach (Taxed/Wealthy)	Greed	Sapphire Bay	[📈 High Stakes] + [🏦 15% Tithe] 
38	The Noble Reach (Taxed/Wealthy)	Greed	Ivory Terrace	[💰 Prosperity] + [🏦 15% Tithe]
39	The Noble Reach (Taxed/Wealthy)	Greed	Velvet Square	[📈 High Stakes] + [💀 Exposed Status] 
40	The Noble Reach (Taxed/Wealthy)	Greed	Sovereign’s Gate	[💰 Prosperity] + [🏦 20% Tithe]
41	The Iron Ring (Safe/Fortresses)	Paranoia	Saint’s Watch	 [🛡️ Fortress Aura] + [🚫 Jammer Zone] 
42	The Iron Ring (Safe/Fortresses)	Paranoia	The Aegis	[🛡️ Fortress Aura] + [🏦 15% Tithe] 
43	The Iron Ring (Safe/Fortresses)	Paranoia	Iron Bastion	 [🛡️ Fortress Aura] + [🚫 Jammer Zone] 
44	The Iron Ring (Safe/Fortresses)	Paranoia	Stone Heart Citadel	 [🛡️ Fortress Aura] + [📈 High Stakes]
45	The Iron Ring (Safe/Fortresses)	Paranoia	Sentinel’s Wall	 [🛡️ Fortress Aura] + [🚫 Jammer Zone] 
46	The Iron Ring (Safe/Fortresses)	Paranoia	Warden’s Keep	 [🛡️ Fortress Aura] + [🏦 20% Tithe]
47	The Iron Ring (Safe/Fortresses)	Paranoia	Shield-Maiden’s Rest	[🛡️ Fortress Aura] + [🚫 Jammer Zone] 
48	The Iron Ring (Safe/Fortresses)	Paranoia	The Anvil	[🛡️ Fortress Aura] + [🔇 Muffled]
49	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	The Muffled Echo	 [🌬️ Warp Flow] + [🌀 Madness] 
50	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	Zero Point	 [👻 Ghosting] + [🌀 Madness] 
51	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	Eternity’s Edge	 [🌬️ Warp Flow] + [💧 Bleed] 
52	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	The Glitch	 [👻 Ghosting] + [🌀 Madness]
53	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	Static Rift	[🌬️ Warp Flow] + [🔇 Muffled]
54	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	Memory Leak	[👻 Ghosting] + [🌀 Madness]
55	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	Fragmented Sky	 [🌬️ Warp Flow] + [📉 Atrophy]
56	The Glitch & The Void (Unstable/Uninhabitable)	Confusion	The Null-Zone	[👻 Ghosting] + [🌀 Madness]
57	The Celestial Core (Heaven-Like/Exposed)	Confusion	Golden Horizon	 [💎 Divine Grace] + [💀 Exposed Status] 
58	The Celestial Core (Heaven-Like/Exposed)	Confusion	Luminous Grove	[💎 Divine Grace] + [📈 High Stakes]
59	The Celestial Core (Heaven-Like/Exposed)	Confusion	Astral Bridge	[💎 Divine Grace] + [🏦 25% Tithe]
60	The Celestial Core (Heaven-Like/Exposed)	Confusion	Star-Light Plaza	[💎 Divine Grace] + [💀 Exposed Status]
61	The Celestial Core (Heaven-Like/Exposed)	Glory	Crystal Spire	[💎 Divine Grace] + [🚫 Jammer Zone]
62	The Celestial Core (Heaven-Like/Exposed)	Glory	Zenith Heights	[💎 Divine Grace] + [📈 High Stakes]
63	The Celestial Core (Heaven-Like/Exposed)	Glory	Elysium	 [💎 Divine Grace] + [🏦 30% Tithe] 
64	The Celestial Core (Heaven-Like/Exposed)	Glory	The Empyrean	[💎 Divine Grace] + [💀 Exposed Status]
				
				
